feature,label,anchor_feature,anchor_feature_label,abs_correlation
emb_4,emb_4 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,1.0004612424885737
emb_40,emb_40 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9192092680903596
emb_41,emb_41 - Account Age Days,account_age_days,Account Age Days,0.0
emb_42,emb_42 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,1.0008352988357083
emb_43,emb_43 - Account Age Days,account_age_days,Account Age Days,0.0
emb_44,emb_44 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9121510347516661
emb_45,emb_45 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0038573278957597
emb_46,emb_46 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9545267177619393
emb_47,emb_47 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9989108223725591
emb_48,emb_48 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.966249633144037
emb_49,emb_49 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0057818001826657
emb_5,emb_5 - Feedback Char Len Mean,feedback_char_len_mean,Feedback Char Len Mean,0.8327901485559531
emb_50,emb_50 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9275866026781421
emb_51,emb_51 - Feedback Char Len Mean,feedback_char_len_mean,Feedback Char Len Mean,0.9697776993351195
emb_52,emb_52 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0091744503688684
emb_53,emb_53 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.9861492010924505
emb_54,emb_54 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.973799237911116
emb_55,emb_55 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9288025829475436
emb_56,emb_56 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0082627895234348
emb_57,emb_57 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9475389840579683
emb_58,emb_58 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.8571259801468297
emb_59,emb_59 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.955207331773971
emb_6,emb_6 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.8007104261049629
emb_60,emb_60 - Msg Char Len Mean,msg_char_len_mean,Msg Char Len Mean,0.8415396002591428
emb_61,emb_61 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0053653798062114
emb_62,emb_62 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.005512699262346
emb_63,emb_63 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.918014032149034
emb_7,emb_7 - Session Duration Mean,session_duration_mean,Session Duration Mean,1.0083061672294285
emb_8,emb_8 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9483814164687661
emb_9,emb_9 - Session Duration Mean,session_duration_mean,Session Duration Mean,0.9419074886803869
